Z,A,symbol,is_stable,atomic_mass_u,source_ame,source_nubase
1,1,H,1,1.00782503223,AME2020 pinned (template),NUBASE2020 pinned (template)
26,56,Fe,1,55.93493633,AME2020 pinned (template),NUBASE2020 pinned (template)
28,62,Ni,1,61.9283451,AME2020 pinned (template),NUBASE2020 pinned (template)
