quantity,predicted,reference,abs_residual,relative_residual
Z,137.0360457363941,,,
alpha_inv (ORT),137.03599928335535,137.035999084,1.9935535533477378e-07,1.4547663144526965e-09
mp/me (ORT),1836.1528309339105,1836.1526734252586,0.0001575086519096658,8.578189286179598e-08
mmu/me (ORT),206.76590248689928,206.76828298766566,-0.0023805007663781907,-1.1512891300259019e-05
mtau/me (ORT),3477.239692462848,3477.228280018971,0.011412443876906764,3.282051955715861e-06
mt_GeV (ORT),172.72776336936414,172.76,-0.03223663063585036,-0.00018659776936704307
v_GeV (exp from GF),246.21965079413738,,,
v_GeV (ORT from mt),245.97029239945968,246.21965079413738,-0.24935839467769938,-0.0010127477391566374
Ebind/A peak (ORT) [MeV],8.829428010216537,8.794556507733725,0.03487150248281168,0.003965123477476835
